ÆÚºÅ,ºÅÂë1,ºÅÂë2,ºÅÂë3,ºÅÂë4,ºÅÂë5,ºÅÂë6,ºÅÂë7
0,17,18,25,27,28,4,8
1,18,21,22,23,35,11,12
2,7,8,15,19,28,8,9
3,11,14,29,31,32,11,12
4,3,4,7,27,31,6,9
5,5,19,22,26,35,2,6
6,3,5,13,20,25,7,11
7,2,13,14,32,34,2,12
8,7,10,11,17,18,4,9
9,23,25,26,30,33,3,11
10,4,10,23,30,31,5,11
11,2,8,11,16,23,2,7
12,13,18,19,27,32,6,11
13,7,11,23,26,28,2,7
14,15,19,27,28,30,3,4
15,2,7,21,27,33,7,9
16,11,26,30,31,33,3,10
17,7,8,10,20,21,1,5
18,10,15,19,20,30,11,12
19,5,6,24,27,33,5,12
20,20,25,27,28,31,8,11
21,12,14,27,28,34,3,7
22,1,4,10,21,29,3,5
23,6,7,19,26,32,6,12
24,1,17,24,28,35,10,12
25,2,14,31,34,35,1,7
26,10,14,15,25,28,3,10
27,2,3,7,16,17,6,10
28,1,12,15,26,35,10,11
29,2,10,14,30,33,6,9
30,7,9,11,26,35,1,8
31,1,14,22,29,33,3,10
32,5,13,24,29,35,7,8
33,15,16,20,29,30,6,10
34,6,14,19,26,33,8,11
35,2,8,17,19,25,1,5
36,2,6,9,21,25,6,8
37,6,13,22,25,26,2,4
38,6,14,15,17,20,1,5
39,11,14,18,20,25,3,7
40,8,12,14,20,24,6,10
41,2,3,15,22,26,3,11
42,8,11,16,29,35,1,4
43,3,20,21,22,24,6,12
44,1,3,24,32,33,4,6
45,2,20,21,26,30,2,10
46,1,4,22,23,34,8,9
47,24,26,29,34,35,9,11
48,23,25,30,31,35,7,8
49,1,17,19,32,34,6,10
50,5,9,14,29,30,9,11
51,4,6,23,32,34,5,7
52,15,19,20,26,32,4,7
53,9,13,25,31,33,3,7
54,4,16,27,28,35,2,9
55,13,15,17,23,34,1,11
56,5,7,19,20,28,5,7
57,3,11,16,21,26,9,10
58,3,6,10,11,24,10,11
59,3,6,17,20,25,3,9
60,3,6,15,17,35,7,11
61,2,11,13,14,30,9,12
62,1,4,14,16,19,3,4
63,9,22,32,33,35,5,10
64,1,10,22,23,25,2,12
65,4,7,17,21,27,10,12
66,1,6,9,25,33,4,8
67,6,8,12,14,18,6,8
68,1,4,6,11,19,7,9
69,6,18,31,33,35,10,11
70,7,12,17,19,34,1,10
71,9,15,20,23,29,4,5
72,2,5,9,11,32,4,9
73,2,3,9,16,19,3,7
74,4,12,14,21,35,2,11
75,9,11,20,29,32,1,7
76,10,21,27,29,33,4,12
77,8,17,25,28,33,7,11
78,5,11,16,30,32,3,4
79,8,10,14,25,34,7,8
80,1,3,5,30,32,1,5
81,1,11,14,34,35,7,10
82,1,4,19,20,34,3,5
83,18,23,25,26,32,2,7
84,2,6,10,32,33,4,7
85,2,3,5,17,29,4,10
86,9,21,22,26,30,4,12
87,7,11,20,24,27,1,11
88,17,18,23,30,31,10,12
89,11,14,21,24,31,2,10
90,7,9,13,16,32,2,9
91,2,12,22,30,33,2,4
92,16,18,29,33,35,9,12
93,7,21,22,30,33,4,6
94,1,12,13,28,29,3,4
95,2,20,23,26,34,5,10
96,17,21,26,29,32,2,7
97,8,9,10,19,34,1,2
98,4,8,17,19,25,1,7
99,7,13,20,27,29,4,9
100,21,27,28,30,34,8,11
101,6,12,20,23,33,1,9
102,6,9,11,14,21,1,3
103,1,5,16,22,34,8,11
104,1,3,20,29,32,5,12
