Counter,nums,frency
"Counter({0: 3, 2: 1, 1: 1})",9,0.0045
"Counter({0: 4, 1: 1})",22,0.011
Counter({0: 5}),11,0.0055
"Counter({0: 3, 1: 2})",27,0.0135
"Counter({0: 2, 1: 2, 2: 1})",7,0.0035
"Counter({1: 3, 0: 2})",12,0.006
"Counter({0: 4, 2: 1})",3,0.0015
"Counter({1: 4, 0: 1})",2,0.001
"Counter({0: 3, 2: 2})",1,0.0005
"Counter({0: 2, 2: 2, 1: 1})",2,0.001
Counter({1: 5}),1,0.0005
"Counter({0: 3, 3: 1, 1: 1})",1,0.0005
"Counter({1: 2, 0: 2, 3: 1})",1,0.0005
"Counter({1: 3, 0: 1, 2: 1})",1,0.0005
