Counter,nums,frency
"Counter({2: 2, 4: 1, 1: 1, 3: 1})",32,0.016
"Counter({2: 4, 3: 1})",14,0.007
"Counter({1: 3, 0: 1, 2: 1})",39,0.0195
"Counter({3: 2, 2: 2, 1: 1})",42,0.021
"Counter({2: 3, 1: 1, 3: 1})",41,0.0205
"Counter({1: 3, 3: 1, 2: 1})",65,0.0325
"Counter({2: 2, 0: 1, 1: 1, 5: 1})",13,0.0065
"Counter({1: 2, 2: 2, 4: 1})",32,0.016
"Counter({2: 3, 1: 1, 0: 1})",49,0.0245
"Counter({0: 3, 1: 2})",7,0.0035
"Counter({1: 2, 3: 2, 2: 1})",47,0.0235
"Counter({2: 2, 3: 1, 1: 1, 0: 1})",93,0.0465
"Counter({1: 2, 2: 2, 3: 1})",73,0.0365
"Counter({1: 2, 2: 1, 0: 1, 4: 1})",34,0.017
"Counter({0: 2, 1: 1, 2: 1, 3: 1})",38,0.019
"Counter({0: 2, 2: 2, 1: 1})",38,0.019
"Counter({1: 2, 0: 2, 2: 1})",35,0.0175
"Counter({3: 3, 0: 1, 1: 1})",10,0.005
"Counter({3: 2, 1: 1, 2: 1, 4: 1})",13,0.0065
"Counter({0: 2, 3: 1, 5: 1, 1: 1})",5,0.0025
"Counter({3: 1, 1: 1, 0: 1, 2: 1, 4: 1})",38,0.019
"Counter({2: 3, 4: 2})",1,0.0005
"Counter({2: 3, 3: 2})",12,0.006
"Counter({2: 2, 1: 2, 0: 1})",74,0.037
"Counter({2: 2, 0: 1, 4: 1, 1: 1})",26,0.013
"Counter({1: 3, 0: 1, 3: 1})",24,0.012
"Counter({3: 2, 0: 2, 2: 1})",7,0.0035
"Counter({4: 2, 0: 2, 3: 1})",1,0.0005
"Counter({3: 2, 1: 1, 4: 1, 0: 1})",9,0.0045
"Counter({1: 2, 3: 1, 0: 1, 2: 1})",76,0.038
"Counter({3: 1, 0: 1, 5: 1, 1: 1, 2: 1})",16,0.008
"Counter({1: 3, 2: 1, 5: 1})",9,0.0045
"Counter({3: 3, 1: 2})",13,0.0065
"Counter({3: 2, 2: 1, 1: 1, 0: 1})",52,0.026
"Counter({2: 3, 0: 1, 3: 1})",32,0.016
"Counter({1: 2, 0: 1, 3: 1, 4: 1})",24,0.012
"Counter({1: 2, 3: 2, 0: 1})",29,0.0145
"Counter({1: 3, 2: 2})",50,0.025
"Counter({2: 3, 1: 2})",42,0.021
"Counter({2: 2, 6: 1, 1: 1, 0: 1})",8,0.004
"Counter({1: 2, 5: 1, 3: 1, 2: 1})",9,0.0045
"Counter({2: 3, 0: 2})",16,0.008
"Counter({3: 3, 2: 1, 1: 1})",23,0.0115
"Counter({2: 3, 5: 1, 1: 1})",8,0.004
"Counter({1: 2, 3: 2, 4: 1})",10,0.005
"Counter({2: 4, 1: 1})",14,0.007
"Counter({0: 3, 2: 2})",5,0.0025
"Counter({2: 3, 3: 1, 5: 1})",4,0.002
"Counter({1: 4, 2: 1})",21,0.0105
"Counter({2: 4, 0: 1})",12,0.006
"Counter({2: 2, 0: 2, 3: 1})",19,0.0095
"Counter({0: 4, 3: 1})",2,0.001
"Counter({0: 2, 1: 1, 4: 1, 2: 1})",23,0.0115
"Counter({4: 2, 0: 1, 2: 1, 1: 1})",6,0.003
"Counter({1: 4, 0: 1})",8,0.004
Counter({2: 5}),2,0.001
"Counter({2: 3, 0: 1, 4: 1})",11,0.0055
"Counter({1: 2, 0: 2, 3: 1})",16,0.008
"Counter({2: 2, 4: 2, 1: 1})",6,0.003
"Counter({3: 2, 4: 1, 0: 1, 2: 1})",15,0.0075
"Counter({0: 2, 3: 1, 4: 1, 1: 1})",12,0.006
"Counter({0: 3, 1: 1, 3: 1})",4,0.002
"Counter({1: 4, 3: 1})",11,0.0055
"Counter({1: 3, 3: 2})",13,0.0065
"Counter({3: 2, 0: 2, 1: 1})",12,0.006
"Counter({1: 3, 4: 1, 0: 1})",12,0.006
"Counter({2: 3, 1: 1, 4: 1})",16,0.008
"Counter({3: 2, 2: 2, 0: 1})",15,0.0075
"Counter({1: 3, 0: 2})",13,0.0065
"Counter({3: 2, 0: 2, 5: 1})",2,0.001
"Counter({2: 2, 4: 1, 0: 1, 5: 1})",2,0.001
"Counter({3: 2, 4: 2, 2: 1})",3,0.0015
"Counter({2: 2, 3: 1, 4: 1, 0: 1})",7,0.0035
"Counter({1: 4, 4: 1})",8,0.004
"Counter({3: 2, 2: 2, 4: 1})",4,0.002
"Counter({3: 3, 2: 1, 0: 1})",4,0.002
"Counter({1: 3, 4: 1, 2: 1})",22,0.011
